date,id,tweet
2020-02-04T20:05:09.000Z,1224785989488476160,"@Wade_EU It won’t fall apart Schadenfreude is  a hard word for Brexiters to comprehend and sounds a bit foreign Germany had a current 
a/c surplus of $276b last year, largest in the World ahead of Japan and China. Britain’s deficit in Q2 was £25.2b so stones and glasshouses comes to mind",
2020-02-04T20:02:08.000Z,1224785228209774592,Today I learned that Barbra Streisand cloned her dog in South Korea thanks to @Jae_Day6,
2020-02-04T19:58:57.000Z,1224784428657975296,Social solidarity from farmers and truckers as Coronavirus tests Chinese agrifood system @scarfethics https://t.co/4NBkQQkgeN,
2020-02-04T19:58:37.000Z,1224784341697531904,"@PrestonPierce60 @HuskyLover84 @BritishBirdgang Other sports seem to have found a way around it

Toronto have just joined the Super League in Rugby and the current Super Rugby league has teams from Japan, South Africa, Australia, Argentina &amp; New Zealand 🤷🏻‍♂️",
2020-02-04T19:58:13.000Z,1224784244322508801,@JohnSimpsonNews Little Betty’s in York was wonderful this morning. Some Chinese groups have cancelled. It’s Scottish half-term next week so back to normal.,
2020-02-04T19:50:30.000Z,1224782299515977728,"Secara terus terang aku tak kesah pun dipecat lantas ku pulang ke Malaysia. Everyday i imagine myself playing with my nephew, sitting at my parent's balcony, joking with my dad, layan my mom",
2020-02-04T19:48:59.000Z,1224781919663067136,"China Completes 1,000-Bed Coronavirus Hospital Under Two Weeks https://t.co/PhdvVn35ra",
2020-02-04T19:48:03.000Z,1224781685033766919,@SkyNews So the Britsh woman whose child you refused entry to because he was born in China...Are you suggesting she leaves the 3 yr old on his own?,
2020-02-04T19:46:42.000Z,1224781343269228544,@Samir_Madani @blondearabist @HermsTheWord Thank you! I have only included China’s top ten suppliers though.,
2020-02-04T19:43:16.000Z,1224780482438672386,Thai beer 🍺 https://t.co/HMwLnQZkf1,
2020-02-04T19:43:13.000Z,1224780468844998659,Thai tamarind duck 🦆 https://t.co/Pnar6fzahX,
2020-02-04T19:39:58.000Z,1224779651475701760,@SimonGudgeon @Garden_Ninja @MoniqueGudgeon New sideline?,
2020-02-04T19:33:21.000Z,1224777985670230017,"@clmcefc Chy for chinese, Maranto’s",
2020-02-04T19:30:42.000Z,1224777318608113665,😷😷When your work mate tells you he’s ordered something from Hong Kong and it’s being held at customers to be disinfected before delivery at work!!! #coronaviruschina,
2020-02-04T19:26:28.000Z,1224776251753320448,"@jennargibson This, this, this. My boyfriend went through the Korean school system, military and a SKY university. The levels of hell he has gone through are not that different to the Kpop industry. There is a problem but it’s in Korean society, not just pop music.",
2020-02-04T19:21:50.000Z,1224775084868546561,So true world is biased when it’s about China 🇨🇳 long live China we are with you. @zlj517 https://t.co/LwqlrhsQHM,
2020-02-04T19:21:06.000Z,1224774901812338694,"@jacqui703 @662Maz @SashaClarkson @trebornaeth @HRHTudor1976 @Madi_nRoly @howdyandy @le_bold  @ErnNutt  @ditterhansen White Guy Gets Street Food in Rare Chinese Dialect, STUNS Locals https://t.co/cIubjjyPB5 via @YouTube",
2020-02-04T19:20:34.000Z,1224774767032643584,@Garden_Ninja @TshsHort @MoniqueGudgeon A nice alternative to sculpting!,
2020-02-04T19:19:22.000Z,1224774466774929409,Worship goes online during a time of coronavirus - thanks for the picture from @alexykk in Hong Kong https://t.co/fr2PPvoTqG,
2020-02-04T19:13:51.000Z,1224773076753309696,https://t.co/lb2EpAw8CT @DeborahMeaden I thought you’d appreciate this.,
2020-02-04T19:12:24.000Z,1224772711202902019,@CelticF1rst Chinese transfer window is still open....,
2020-02-04T19:09:36.000Z,1224772009625899013,"“The U.K. has a deep relationship with the US, Australia and more. That doesn’t mean we shouldn’t have dialogue with China - and be honest friends.” @ox_chinacentre’s Rana Mitter https://t.co/jqfO4h6UeN",
2020-02-04T19:06:58.000Z,1224771346825125889,"The awful dangers when authorities clamp down on information that could ""disturb the social order"". A lesson for citizens all over the world regarding governments that hold too much power: ""The Chinese doctor who tried to warn others about coronavirus"" 
https://t.co/3x9cjntd2L",
2020-02-04T19:05:31.000Z,1224770981186674688,"What also boils my piss is its not going to make a fucking difference if the whole country became vegetarian cave dwellers tomorrow ,because there's China ,Russia and India and nobody's say a fucking thing to them Greta.",
2020-02-04T19:05:01.000Z,1224770855416279040,Watch Japan's first robot bartender mix and serve a cocktail https://t.co/Tn8iH8Jx6l,
2020-02-04T19:04:39.000Z,1224770762260844544,It was not easy time for me but I really enjoyed and discovered myself and many things in these months here in UK. Hanging out old and new friends was so precious. Thank you so much for caring me! Come to see me to Japan please. Take care. Hope to see you soon✨,
2020-02-04T19:04:31.000Z,1224770728270102528,The three stages to perfecting our gluten free  Singapore vermicelli with prawns and chicken. @ Sweet Mandarin https://t.co/JOvhM2suI2,
2020-02-04T19:03:03.000Z,1224770360777809920,"Insurance companies trust us with restoring accidents that have happened.

This Hand knotted Oriental rug was sent in to us by an insurance company to try and rectify a spillage of wood stain. 

Luckily the customer… https://t.co/i6McHdx1uv",
2020-02-04T19:02:08.000Z,1224770127561883648,@ssimon1000 I think it normally comes from china.....,
2020-02-04T19:01:08.000Z,1224769875857625090,@Garden_Ninja @LifeatNo27 It is!! And good for you but make sure it makes it from the van into your skin;-)),
2020-02-04T19:01:05.000Z,1224769865371746307,@JuliaBradbury @BollingKeith @DavidCBaines @WWF Tell that to China! They have coal burning under ground.,
2020-02-04T18:58:11.000Z,1224769136791891969,"Japan, we'll see you soon! Tokyo in 4 days and all I can think of is I can't wait to taste the food!!!! 

Any restaurant or food recommendations for Tokyo?

Also, anyone up to date with the coronavirus situation in Japan? 

#travel #japanesefood #japan #traveltribe https://t.co/jkRK49O7Fg",
2020-02-04T18:57:02.000Z,1224768845430259712,"“The thing that is missing in the U.K. is public debate on China. You’re going to need to have that debate very, very soon.” @latikambourke https://t.co/hCrKumI1rh",
2020-02-04T18:54:46.000Z,1224768274078011393,"Some interiors, because as it turns out, there stuff printed on the inside of these “publications” too. Detroit city guide, Japan edition of Kennedy, 25 years of Arena Homme and a magazine about magazines (Gym Class) https://t.co/b5NxCMR1Ss https://t.co/YNa1BYpKFU",
2020-02-04T18:54:11.000Z,1224768126992158720,@BRBAndy Oh was far out was dad....monkey eating in Malaysia apparently..,
2020-02-04T18:53:19.000Z,1224767909471322118,"When you order your retractable seating on eBay from China and the estimated delivery date is 4 and a half years 

X https://t.co/HZAReMnGrT",
2020-02-04T18:53:01.000Z,1224767833088897026,@shit_ninja Fancy!,
2020-02-04T18:52:20.000Z,1224767661151834112,"@Garden_Ninja @SimonGudgeon @MoniqueGudgeon Oh it was a joy to work with, no need for canes, no wire pulling up whilst trying to tie them in, practical and looking good",
2020-02-04T18:43:58.000Z,1224765555590270978,@MailOnline We ALL knew that the minute China raised the alarm!,
2020-02-04T18:43:26.000Z,1224765421913505794,"So our bright government are recommending that Brits in China come home to escape the Corona virus. 

Thick fuckers aren't they with that advice! 

'Sharings caring' no thanks!!! 😬",
2020-02-04T18:42:55.000Z,1224765293546934273,God please Idm for the US presale anymore just give me Korean raffle. 😭,
2020-02-04T18:42:52.000Z,1224765279969869824,“The rise of China is a fact. It is going to remain a fact... the rise of China is not a temporary phenomenon.” @AlexanderDowner https://t.co/5bdkCw8PaR,
2020-02-04T18:39:36.000Z,1224764460126089217,"Asian, or specifically Chinese? https://t.co/4NB0R3Plya",
