start,tweet count
2021-02-13T00:00:00.000Z,513
2021-02-14T00:00:00.000Z,468
2021-02-15T00:00:00.000Z,362
2021-02-16T00:00:00.000Z,318
2021-02-17T00:00:00.000Z,428
2021-02-18T00:00:00.000Z,270
2021-02-19T00:00:00.000Z,341
2021-02-20T00:00:00.000Z,412
2020-12-21T00:00:00.000Z,393
2020-12-22T00:00:00.000Z,325
2020-12-23T00:00:00.000Z,343
2020-12-24T00:00:00.000Z,346
2020-12-25T00:00:00.000Z,187
2020-12-26T00:00:00.000Z,265
2020-12-27T00:00:00.000Z,315
2020-12-28T00:00:00.000Z,310
2020-12-29T00:00:00.000Z,335
2020-12-30T00:00:00.000Z,395
2020-12-31T00:00:00.000Z,502
2021-01-01T00:00:00.000Z,409
2021-01-02T00:00:00.000Z,390
2021-01-03T00:00:00.000Z,366
2021-01-04T00:00:00.000Z,460
2021-01-05T00:00:00.000Z,361
2021-01-06T00:00:00.000Z,488
2021-01-07T00:00:00.000Z,382
2021-01-08T00:00:00.000Z,368
2021-01-09T00:00:00.000Z,491
2021-01-10T00:00:00.000Z,371
2021-01-11T00:00:00.000Z,323
2021-01-12T00:00:00.000Z,320
2021-01-13T00:00:00.000Z,382
2021-01-14T00:00:00.000Z,360
2021-01-15T00:00:00.000Z,344
2021-01-16T00:00:00.000Z,371
2021-01-17T00:00:00.000Z,336
2021-01-18T00:00:00.000Z,353
2021-01-19T00:00:00.000Z,403
2021-01-20T00:00:00.000Z,425
2020-11-20T00:00:00.000Z,360
2020-11-21T00:00:00.000Z,299
2020-11-22T00:00:00.000Z,327
2020-11-23T00:00:00.000Z,344
2020-11-24T00:00:00.000Z,366
2020-11-25T00:00:00.000Z,396
2020-11-26T00:00:00.000Z,322
2020-11-27T00:00:00.000Z,253
2020-11-28T00:00:00.000Z,341
2020-11-29T00:00:00.000Z,287
2020-11-30T00:00:00.000Z,282
2020-12-01T00:00:00.000Z,302
2020-12-02T00:00:00.000Z,316
2020-12-03T00:00:00.000Z,333
2020-12-04T00:00:00.000Z,303
2020-12-05T00:00:00.000Z,321
2020-12-06T00:00:00.000Z,304
2020-12-07T00:00:00.000Z,277
2020-12-08T00:00:00.000Z,290
2020-12-09T00:00:00.000Z,305
2020-12-10T00:00:00.000Z,358
2020-12-11T00:00:00.000Z,358
2020-12-12T00:00:00.000Z,401
2020-12-13T00:00:00.000Z,327
2020-12-14T00:00:00.000Z,289
2020-12-15T00:00:00.000Z,349
2020-12-16T00:00:00.000Z,316
2020-12-17T00:00:00.000Z,291
2020-12-18T00:00:00.000Z,298
2020-12-19T00:00:00.000Z,483
2020-12-20T00:00:00.000Z,473
2020-10-20T00:00:00.000Z,343
2020-10-21T00:00:00.000Z,384
2020-10-22T00:00:00.000Z,332
2020-10-23T00:00:00.000Z,379
2020-10-24T00:00:00.000Z,349
2020-10-25T00:00:00.000Z,308
2020-10-26T00:00:00.000Z,322
2020-10-27T00:00:00.000Z,435
2020-10-28T00:00:00.000Z,385
2020-10-29T00:00:00.000Z,359
2020-10-30T00:00:00.000Z,281
2020-10-31T00:00:00.000Z,433
2020-11-01T00:00:00.000Z,374
2020-11-02T00:00:00.000Z,250
2020-11-03T00:00:00.000Z,310
2020-11-04T00:00:00.000Z,297
2020-11-05T00:00:00.000Z,279
2020-11-06T00:00:00.000Z,322
2020-11-07T00:00:00.000Z,425
2020-11-08T00:00:00.000Z,343
2020-11-09T00:00:00.000Z,358
2020-11-10T00:00:00.000Z,343
2020-11-11T00:00:00.000Z,348
2020-11-12T00:00:00.000Z,339
2020-11-13T00:00:00.000Z,331
2020-11-14T00:00:00.000Z,293
2020-11-15T00:00:00.000Z,334
2020-11-16T00:00:00.000Z,310
2020-11-17T00:00:00.000Z,317
2020-11-18T00:00:00.000Z,300
2020-11-19T00:00:00.000Z,302
2020-10-19T00:00:00.000Z,297
2020-09-18T00:00:00.000Z,322
2020-09-19T00:00:00.000Z,338
2020-09-20T00:00:00.000Z,289
2020-09-21T00:00:00.000Z,289
2020-09-22T00:00:00.000Z,359
2020-09-23T00:00:00.000Z,323
2020-09-24T00:00:00.000Z,299
2020-09-25T00:00:00.000Z,350
2020-09-26T00:00:00.000Z,345
2020-09-27T00:00:00.000Z,311
2020-09-28T00:00:00.000Z,311
2020-09-29T00:00:00.000Z,282
2020-09-30T00:00:00.000Z,277
2020-10-01T00:00:00.000Z,337
2020-10-02T00:00:00.000Z,328
2020-10-03T00:00:00.000Z,333
2020-10-04T00:00:00.000Z,314
2020-10-05T00:00:00.000Z,272
2020-10-06T00:00:00.000Z,299
2020-10-07T00:00:00.000Z,376
2020-10-08T00:00:00.000Z,377
2020-10-09T00:00:00.000Z,318
2020-10-10T00:00:00.000Z,335
2020-10-11T00:00:00.000Z,289
2020-10-12T00:00:00.000Z,314
2020-10-13T00:00:00.000Z,308
2020-10-14T00:00:00.000Z,317
2020-10-15T00:00:00.000Z,291
2020-10-16T00:00:00.000Z,339
2020-10-17T00:00:00.000Z,364
2020-10-18T00:00:00.000Z,317
2020-08-18T00:00:00.000Z,311
2020-08-19T00:00:00.000Z,360
2020-08-20T00:00:00.000Z,337
