date	tweetCount
2019-12-06 00:00:00+00:00	369
2019-12-07 00:00:00+00:00	329
2019-12-08 00:00:00+00:00	327
2019-12-09 00:00:00+00:00	329
2019-12-10 00:00:00+00:00	362
2019-12-11 00:00:00+00:00	381
2019-12-12 00:00:00+00:00	364
2019-12-13 00:00:00+00:00	383
2019-12-14 00:00:00+00:00	356
2019-12-15 00:00:00+00:00	428
2019-12-16 00:00:00+00:00	322
2019-12-17 00:00:00+00:00	364
2019-12-18 00:00:00+00:00	350
2019-12-19 00:00:00+00:00	303
2019-12-20 00:00:00+00:00	289
2019-12-21 00:00:00+00:00	378
2019-12-22 00:00:00+00:00	342
2019-12-23 00:00:00+00:00	336
2019-12-24 00:00:00+00:00	394
2019-12-25 00:00:00+00:00	271
2019-12-26 00:00:00+00:00	271
2019-12-27 00:00:00+00:00	294
2019-12-28 00:00:00+00:00	314
2019-12-29 00:00:00+00:00	296
2019-12-30 00:00:00+00:00	362
2019-12-31 00:00:00+00:00	455
2020-01-01 00:00:00+00:00	348
2020-01-02 00:00:00+00:00	341
2020-01-03 00:00:00+00:00	464
2020-01-04 00:00:00+00:00	381
2020-01-05 00:00:00+00:00	369
2020-01-06 00:00:00+00:00	350
2020-01-07 00:00:00+00:00	372
2020-01-08 00:00:00+00:00	369
2020-01-09 00:00:00+00:00	313
2020-01-10 00:00:00+00:00	361
2020-01-11 00:00:00+00:00	370
2020-01-12 00:00:00+00:00	396
2020-01-13 00:00:00+00:00	373
2020-01-14 00:00:00+00:00	449
2020-01-15 00:00:00+00:00	443
2020-01-16 00:00:00+00:00	382
2020-01-17 00:00:00+00:00	398
2020-01-18 00:00:00+00:00	445
2020-01-19 00:00:00+00:00	396
2020-01-20 00:00:00+00:00	449
2020-01-21 00:00:00+00:00	519
2020-01-22 00:00:00+00:00	604
2020-01-23 00:00:00+00:00	626
2020-01-24 00:00:00+00:00	742
2020-01-25 00:00:00+00:00	1004
2020-01-26 00:00:00+00:00	641
2020-01-27 00:00:00+00:00	482
2020-01-28 00:00:00+00:00	593
2020-01-29 00:00:00+00:00	578
2020-01-30 00:00:00+00:00	617
2020-01-31 00:00:00+00:00	735
2020-02-01 00:00:00+00:00	541
2020-02-02 00:00:00+00:00	608
2020-02-03 00:00:00+00:00	495
2020-02-04 00:00:00+00:00	486
2020-02-05 00:00:00+00:00	448
2020-02-06 00:00:00+00:00	520
2020-02-07 00:00:00+00:00	434
2020-02-08 00:00:00+00:00	508
2020-02-09 00:00:00+00:00	447
2020-02-10 00:00:00+00:00	484
2020-02-11 00:00:00+00:00	476
2020-02-12 00:00:00+00:00	456
2020-02-13 00:00:00+00:00	514
2020-02-14 00:00:00+00:00	513
2020-02-15 00:00:00+00:00	511
2020-02-16 00:00:00+00:00	360
2020-02-17 00:00:00+00:00	395
2020-02-18 00:00:00+00:00	411
2020-02-19 00:00:00+00:00	437
2020-02-20 00:00:00+00:00	428
2020-02-21 00:00:00+00:00	448
2020-02-22 00:00:00+00:00	430
2020-02-23 00:00:00+00:00	436
2020-02-24 00:00:00+00:00	405
2020-02-25 00:00:00+00:00	457
2020-02-26 00:00:00+00:00	440
2020-02-27 00:00:00+00:00	466
2020-02-28 00:00:00+00:00	607
2020-02-29 00:00:00+00:00	487
2020-03-01 00:00:00+00:00	466
2020-03-02 00:00:00+00:00	448
2020-03-03 00:00:00+00:00	500
2020-03-04 00:00:00+00:00	490
2020-03-05 00:00:00+00:00	459
2020-03-06 00:00:00+00:00	448
2020-03-07 00:00:00+00:00	502
2020-03-08 00:00:00+00:00	462
2020-03-09 00:00:00+00:00	580
2020-03-10 00:00:00+00:00	628
2020-03-11 00:00:00+00:00	621
2020-03-12 00:00:00+00:00	799
2020-03-13 00:00:00+00:00	866
2020-03-14 00:00:00+00:00	911
2020-03-15 00:00:00+00:00	889
2020-03-16 00:00:00+00:00	791
2020-03-17 00:00:00+00:00	955
2020-03-18 00:00:00+00:00	1143
2020-03-19 00:00:00+00:00	1169
2020-03-20 00:00:00+00:00	877
2020-03-21 00:00:00+00:00	777
2020-03-22 00:00:00+00:00	869
2020-03-23 00:00:00+00:00	795
2020-03-24 00:00:00+00:00	872
